audio_path,audio_filename,english_text,text_for_tts
lap_counter/has_taken_the_win,7.wav,,
lap_counter/has_taken_the_win,8.wav,,
lap_counter/has_taken_the_win,9.wav,,
lap_counter/strength_of_field_for_our_class_is,1.wav,,
lap_counter/strength_of_field_for_our_class_is,2.wav,,
lap_counter/strength_of_field_for_our_class_is,3.wav,,
lap_counter/strength_of_field_for_our_class_is,4.wav,,
lap_counter/strength_of_field_for_our_class_is,5.wav,,
lap_counter/strength_of_field_for_our_class_is,6.wav,,
lap_counter/strength_of_field_for_our_class_is,7.wav,,
lap_counter/strength_of_field_is,1.wav,,
lap_counter/strength_of_field_is,2.wav,,
lap_counter/strength_of_field_is,3.wav,,
lap_counter/strength_of_field_is,4.wav,,
lap_counter/strength_of_field_is,5.wav,,
lap_counter/strength_of_field_is,6.wav,,
multiclass/mustang,1.wav,mustang,
multiclass/mustang,2.wav,ford,
numbers_it/1,1.wav,,
numbers_it/10,1.wav,,
numbers_it/11,1.wav,,
numbers_it/15,1.wav,,
numbers_it/21,1.wav,,
numbers_it/28,1.wav,,
numbers_it/29,1.wav,,
numbers_it/3,1.wav,,
numbers_it/30,1.wav,,
numbers_it/31,1.wav,,
numbers_it/32,1.wav,,
numbers_it/33,1.wav,,
numbers_it/34,1.wav,,
numbers_it/4,1.wav,,
numbers_it/5,1.wav,,
numbers_it/6,1.wav,,
numbers_it/60,1.wav,,
numbers_it/61,1.wav,,
numbers_it/62,1.wav,,
numbers_it/63,1.wav,,
numbers_it/64,1.wav,,
numbers_it/65,1.wav,,
numbers_it/66,1.wav,,
numbers_it/67,1.wav,,
numbers_it/68,1.wav,,
numbers_it/69,1.wav,,
numbers_it/7,1.wav,,
numbers_it/70,1.wav,,
numbers_it/71,1.wav,,
numbers_it/72,1.wav,,
numbers_it/73,1.wav,,
numbers_it/74,1.wav,,
numbers_it/75,1.wav,,
numbers_it/76,1.wav,,
numbers_it/77,1.wav,,
numbers_it/78,1.wav,,
numbers_it/79,1.wav,,
numbers_it/8,1.wav,,
numbers_it/80,1.wav,,
numbers_it/81,1.wav,,
numbers_it/82,1.wav,,
numbers_it/83,1.wav,,
numbers_it/84,1.wav,,
numbers_it/85,1.wav,,
numbers_it/86,1.wav,,
numbers_it/87,1.wav,,
numbers_it/88,1.wav,,
numbers_it/89,1.wav,,
numbers_it/9,1.wav,,
numbers_it/90,1.wav,,
numbers_it/91,1.wav,,
numbers_it/92,1.wav,,
numbers_it/93,1.wav,,
numbers_it/94,1.wav,,
numbers_it/95,1.wav,,
numbers_it/96,1.wav,,
numbers_it/97,1.wav,,
numbers_it/98,1.wav,,
numbers_it/99,1.wav,,
overtaking_aids/drs_activations_remaining,1.wav,,
overtaking_aids/drs_activations_remaining,2.wav,,
overtaking_aids/drs_activations_remaining,3.wav,,
overtaking_aids/drs_activations_remaining,4.wav,,
overtaking_aids/drs_activations_remaining,5.wav,,
overtaking_aids/drs_activations_remaining,6.wav,,
overtaking_aids/no_drs_activations_remaining,1.wav,,
overtaking_aids/no_drs_activations_remaining,2.wav,,
overtaking_aids/no_drs_activations_remaining,3.wav,,
overtaking_aids/no_drs_activations_remaining,4.wav,,
overtaking_aids/no_drs_activations_remaining,5.wav,,
